
,518,,
79,,1534,
11,109,,
19,389,,
,1,,
14,85,,
602,,663,
8,11,278,
3,1,16,
6,8,257,
1,86,,
10,1,22,
44,347,,
33,8,31,
,21,,
173,5,131,
1,6,22,
1,5,13,
159,,,
29,46,297,
607,,17,
3,5,61,
3,7,39,
2,5,22,
,70,,
8,85,,
5,53,571,
,78,,
839,12,145,
7,20,82,
7980,5,46,
3,,6,
2,106,,
7328,7,364,
41,1561,,
,52,1,
,1,,
12,56,,
1,2,,
1,1,,
4345,,59,
12,121,,
4,3,105,
876,4,88,
2,190,,
8,154,,
,4,78,
80,2,102,
2,,50,
4,5,481,
18,153,,
3613,52,195,
6893,7,72,
1,4,1,
