follower_count,following_columns_count,following_count,mutual_followees_count
1,46,141,
1,,7,
118,,4897,
159,175,266,
1,64,,
605,,,
,,22,
2,54,,
14,3,415,
1118,2,37,
,1,6,
,15,,
163,24,239,
55,,4958,
2,25,174,
,29,,
4,74,,
25,,121,
67,,4968,
75,,4965,
,2,,
63667,52,496,
,,19,
,132,,
,16,22,
1,2,18,
,23,,
10664,21,537,
1,20,227,
10,3,200,
43,30,429,
1,225,,
115710,2,35,3
25,7,561,
1,1,6,
,128,,
3,122,2,
,3,,
21,215,,
1,3,60,
19,,385,
140,66,402,
5,5,20,
45,,69,
,,23,
,,14,
,9,,
40790,33,453,2
18,22,310,
2,12,,
1,,7,
15,,120,
1,,,
,,1,
4946,1,,
3546,,9,
274,211,5000,
12717,1,15,
1,1,34,
24061,27,309,
500,25,2416,
,3,,
11,91,,
14,432,,
5,,8,
5,,12,
,,98,
,,2,
3,17,2,
23,109,,
1,,8,
,9,25,
822,,28,
56,170,803,
8,2,5,
414,11,893,
2,11,254,
,,1,
47,8,146,
103,47,831,
3,11,,
3259,25,356,
,10,,
9,1,385,
68,2,105,
,,1,
81,13,36,
11,1,12,
83,,3,
3,213,2,
33408,128,873,2
6913,9,345,1
111954,1,312,1
,11,,
17560,32,367,1
16,470,,
191518,18,382,1
2,2,120,
,3,,
15,285,,
,,,
41877,1,69,2
,4,113,
,47,,
,2,,
,1,32,
,1,40,
,,8,
1,10,,
3687,,3,
3,,208,
134,42,391,
,9,,
,105,,
9,176,,
9270,,15,
12,124,,
,,1,
1,,5,
2,,104,
,,5,
294585,1,19,2
20,105,,
,7,,
27,103,221,
4,97,539,
,,2,
2,2,51,
1,362,,
,,19,
161,3,256,
4,1,10,
21731,352,1545,1
49,222,,
98547,136,780,6
15,198,885,
1,11,,
,2,13,
,13,,
5,18,52,
10,36,,
1849,,27,
,33,,
,27,,
73,2,83,
44,57,2444,
8,6,1068,
,124,,
3137,,,
1,,19,
10,9,47,
5,7,1209,
2,2,12,
,8,,
6,54,1,
3,,7,
,,36,
1,43,,
11,2,68,
43,,,
88,10,215,
694,19,76,
5,67,,
,1,56,
,25,,
25166,26,234,
7402,4,250,
36587,17,486,
,14,,
90,1225,,
54423,54,271,
231,,13,1
8,56,,
2,1,18,
,896,,
5,179,,
,9,,
43,218,1,
808,1,29,
,,8,
33,209,,
1,3,34,
,4,163,
,2985,,
3,4,88,
19,160,,
,4,,
4,55,,
,3,,
3,2,18,
,,1,
,,69,
2,23,,
2523,1,22,
1,20,,
6064,,,
68,,4962,
671,2,12,
2534,,15,
,2,3,
,4,,
3,23,,
,,1,
,12,,
,25,,
,,7,
4,6,176,
,2,,
2,205,,
76,,4,
7174,3,737,
15,265,1,
9,89,,
,9,,
,,4,
14,123,487,
4,18,,
5,1,44,
11,12,1,
93,537,4999,
,3,,
,,93,
339,,6,1
,2,17,
,6,31,
12,22,734,
,4887,,
165695,105,5696,2
1,1,,
,,4,
64,2,56,
3,557,,
,,6,
43,,154,
756,11,154,
9,,254,
,978,,
,,5,
8084,,14,
1,27,,
36,4,73,
4,12,54,
,,,
2,4,52,
13038,5,240,
,4,13,
578,,124,
32690,32,263,
,3,8,
,1785,,
137267,1,407,2
2,49,,
39,2,23,
6,10,128,
10,519,,
,20,,
487,1,280,
,2,8,
33,1,,
,,1,
347,10,641,
11,11,,
343,93,457,
2,6,800,
14,,644,
,,122,
,4,65,
1,29,,
,4865,,
16,21,170,
27747,3,28,
5,2,107,
68,527,,
82,296,,
24,1459,,
135,4,516,
44,110,2206,
1,,19,
,1,14,
2,,9,
2026,10,246,
27,7,267,
3,1,7,
3,3,80,
39221,92,512,
,,1,
,,5,
3,7,71,
,57,,
1526,25,29,
2,40,,
,7,,
61995,23,204,
,,23,
1,23,,
26,41,,
41,569,,
,10,,
6,104,,
,1,2,
57,3,610,
706,,4,1
,,37,
6,402,,
685,66,752,
142,,9,
1,1,9,
1,9,,
,,9,
,15,36,
4,4,38,
521,,1479,
16,,996,
3,2,15,
5,58,555,
1,1,85,
116,7,154,
,30,,
6,628,,
4,,2,
,5,,
4,4983,,
15022,9,237,
,1,63,
1,619,,
3,13,116,
2,132,,
6,1,33,
,42,,
,,6,
1744,,4,
,,5,
3,1,13,
26491,,28,2
,1,78,
1341,18,137,1
23,717,1,
13389,9,109,
50,3695,,
1,,8,
711,10,143,
72,349,,
,2,14,
11,383,,
1,,13,
,,31,
5,30,,
,43,,
10,15,124,
2,,35,
1,,75,
,17,,
,,2,
,25,,
,1,29,
5,74,,
3,9,28,
,6,,
,1,17,
1,,4,
1,2,69,
,48,,
2,50,,
,4,,
28608,1,14111,3
2,3,,
11,,237,
,,4,
,13,,
,,1,
,2,71,
355,16,3632,
5,2,219,
4,10,74,
7,2,424,
2,3,30,
,10,33,
1,3,5,
,,30,
,37,28,
2,3,69,
2,29,191,
37,1184,,
27347,2,91,1
37,13,1056,
26,259,,
5360,12,94,
54146,,29,1
85572,2,16,1
690,7,57,
1,2,19,
,1,,
4660,1,20,
54,2,42,
,64,3,
122071,217,295,
1,431,1,
43,385,,
16,19,85,
6,4,48,
5934,2,99,
24,96,,
,14,,
1,2,,
42,17,803,
386,10,508,
,1,,
267,,4,
9598,21,839,
6,119,,
5,39,,
,8,,
23,,291,
85513,15,372,
,,17,
623,2,47,
4,13,,
,28,,
5,426,2,
540,1,2,
12,123,,
5,204,1,
206479,42,330,4
,86,,
13,18,18,
163971,14,200,3
109,749,,
2,4,,
49,6,968,
12,23,771,
103,1197,,
2,1,27,
,1197,,
,,2,
,24,,
,5,,
70,7,164,
174,,3115,
,4,,
,,1,
17013,,5,
4,70,,
,3247,,
11,9,79,
3,,7,
3,111,,
122,61,111,
51,,4966,
18,246,2,
54,,103,
405857,47,1450,3
7,56,,
26,20,1996,
3616,7,238,
5,3,160,
,84,,
,,3,
,,6,
5,,20,
11,1,28,
,1,,
7,,3,
17540,2,218,
674,,354,
3809,13,202,
1,1,9,
,1,97,
,1,59,
3,1,11,
16,,52,
1112516,6,223,4
4209,6,114,
,4,,
2,,51,
6,44,110,
2,266,,
120,2,113,
4,91,2,
1,12,,
1,1,2,
3,2,70,
30455,11,190,
7606,1,1,
1,95,8,
7084,15,115,
,464,,
1,1,11,
186,,41,
,,13,
3744,,,
,1,25,
4,7,123,
64,4,53,
1,1082,,
1,2,,
,3,,
106,61,145,
4,3,86,
1,41,,
37,606,,
,1,20,
149,21,5096,
1,5,1,
1096,25,122,
3,12,,
40,177,,
9,5,215,
230,74,396,
,1,8,
74,,1,
3056,,6,
2,103,,
27,3,90,
16,328,,
12,35,185,
8,8,64,
,2,,
7315,36,154,
32800,3,111,1
100,,4912,
7166,54,227,
,4941,,
1,2,112,
1294,5,9,
4,45,,
2,40,,
4453,3,39,
1,5,,
49,28,1517,
1248,2,291,
,15,1,
26,,954,
,1,,
49966,,,
,1,,
2,,23,
24991,2,26,
,1,29,
44456,15,27,1
,1,,
44,204,,
24511,,76,
,5,14,
3,30,389,
,3,,
49028,18,3390,
1,1,16,
2,2,17,
23,564,4,
5,2,61,
6860,,,
,,1,
2,35,,
1,3,12,
27,1,21,
14,,771,
12,67,,
,13,1,
,,1,
1,2,40,
,,2,
28,30,1272,
,8,,
21,46,321,
8,651,,
,,9,
,16,,
660,,82,
11,17,435,
1160,15,19,
1,16,,
4,16,,
9783,5,155,
,4936,,
,58,,
2,24,,
53,4759,,
15,105,1246,
5,49,,
,5,65,
,18,,
,1,267,
4,71,1,
1,1,26,
19,765,,
5062,1,184,
156,,164,
,1,7,
3,,93,
3,1466,,
1,1707,,
541,81,1148,
20,52,219,
,,1,
19,,29,
,1,14,
1370,213,2857,
78,,4964,
116141,,132,
3,3,46,
87833,10,232,1
1,52,1,
1265,3,1139,
1,3,41,
14,22,108,
3,2,44,
72327,2,7336,1
5,15,402,
,3,29,
,1,4,
71,18,195,
23691,19,110,
20,121,,
34674,86,157,
,110,1,
50,7,911,
30,1,17,
8821,,17,
14,292,,
2,17,,
32,,4961,
219,1384,,
129,43,198,
54,,4970,
309653,6,184,2
22,147,,
1,,4,
,,1,
2172,1,14,
119340,69,51,3
,413,,
,1,,
299799,36,861,3
52,105,2717,
,1,,
11,3,37,
1,,7,
,10,,
13,330,,
1,11,86,
13,320,,
,1,3,
81,13,744,
30,6,359,
41,3618,,
2,,78,
10,128,,
,,1,
,52,,
114044,9,283,1
2,,61,
137,,436,
1,,6,
2,14,497,
39,523,,
17,50,876,
8,19,,
10151,3,43908,
1,,44,
2516,5,132,
,9,,
,,18,
60084,37,1158,2
2,5,262,
,,255,
20,,35,
27711,3,115,1
211,186,655,
11,1232,,
5,46,,
2,42,663,
,56,,
3,5,228,
1,,3,
,,17,
3,,18,
30,285,,
202,9,2991,
8,,311,
463,32,149,
,1389,,
1,,36,
2,34,,
,4,,
12,65,,
107,,1199,
30335,1,12,1
87,,5,
15,117,,
9,366,,
2,,,
4,1,79,
5899,7,106,
7,111,,
108,2,137,
3,,13,
25,1914,,
1,727,,
186,4,1579,
1,1,58,
43,1,2508,
2,159,212,
